beat,lane,vel,mag
0,3,2.5,20.7
1,0,2.5,15.8
2,2,2.5,16.2
3,3,2.5,20.7
4,4,2.5,18.2
5,3,2.5,18.7
6,3,2.5,15.4
7,3,2.5,16.6
8,0,2.5,15.0
9,0,2.5,22.1
10,2,2.5,15.7
11,0,2.5,18.5
12,1,2.5,18.6
13,2,2.5,11.4
14,4,2.5,14.7
15,4,2.5,14.2
16,4,2.5,8.0
17,0,2.5,11.0
18,3,2.5,16.7
19,1,2.5,16.6
20,3,2.5,7.6
21,4,2.5,12.1
22,1,2.5,9.0
23,0,2.5,7.4
24,2,2.5,8.6
25,4,2.5,13.5
26,1,2.5,10.1
27,4,2.5,11.2
28,4,2.5,3.4
29,3,2.5,12.6
30,1,2.5,12.8
31,1,2.5,5.7
32,3,2.5,11.0
33,1,2.5,9.2
34,2,2.5,3.8
35,1,2.5,6.2
36,3,2.5,9.5
37,0,2.5,7.4
38,2,2.5,4.6
39,3,2.5,7.2
40,3,2.5,10.1
41,2,2.5,9.0
42,3,2.5,3.5
43,0,2.5,10.0
44,0,2.5,7.0
45,1,2.5,9.0
46,2,2.5,9.7
47,2,2.5,6.6
48,0,2.5,8.1
49,3,2.5,9.8
50,3,2.5,14.6
51,0,2.5,11.5
52,3,2.5,16.9
53,1,2.5,10.5
54,4,2.5,9.6
55,2,2.5,8.6
56,0,2.5,7.3
57,3,2.5,10.0
58,3,2.5,7.3
59,3,2.5,9.1
60,2,2.5,12.5
61,1,2.5,11.5
62,0,2.5,7.6
63,1,2.5,10.5
64,3,2.5,9.4
65,0,2.5,10.1
66,2,2.5,12.6
67,2,2.5,10.5
68,0,2.5,14.7
69,3,2.5,17.2
70,4,2.5,16.4
71,3,2.5,15.0
72,1,2.5,15.5
73,1,2.5,17.0
74,2,2.5,12.5
75,4,2.5,19.1
76,2,2.5,15.8
77,0,2.5,20.5
78,3,2.5,13.3
79,4,2.5,14.0
